Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
R_V=3.1 galactic dust with C/H = b_C = 60.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

**************************** NOTE ***********************************
C_ext/H and K_abs published in Table 6 of Li & Draine (2001) are too
small by a factor of 1.086 (see erratum, Li & Draine 2001b).

This table is an extended and corrected version of Table 6 from Li & 
Draine (2001), recalculated by B.T. Draine 2001.07.05

*********************************************************************

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron)
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.000E-02 0.4711  0.9928 7.146E-22 2.085E+04
1.006E-02 0.4696  0.9928 7.158E-22 2.095E+04
1.012E-02 0.4680  0.9927 7.170E-22 2.104E+04
1.017E-02 0.4665  0.9926 7.181E-22 2.114E+04
1.023E-02 0.4649  0.9925 7.193E-22 2.123E+04
1.029E-02 0.4634  0.9924 7.204E-22 2.133E+04
1.035E-02 0.4616  0.9923 7.212E-22 2.142E+04
1.041E-02 0.4592  0.9923 7.213E-22 2.152E+04
1.047E-02 0.4567  0.9922 7.214E-22 2.162E+04
1.053E-02 0.4524  0.9922 7.193E-22 2.173E+04
1.059E-02 0.4441  0.9923 7.128E-22 2.186E+04
1.065E-02 0.4428  0.9922 7.142E-22 2.196E+04
1.072E-02 0.4630  0.9930 6.722E-22 1.992E+04
1.078E-02 0.4616  0.9929 6.738E-22 2.001E+04
1.084E-02 0.4697  0.9926 6.863E-22 2.008E+04
1.090E-02 0.4740  0.9923 6.945E-22 2.016E+04
1.096E-02 0.4746  0.9922 6.985E-22 2.025E+04
1.103E-02 0.4751  0.9920 7.024E-22 2.034E+04
1.109E-02 0.4755  0.9918 7.060E-22 2.043E+04
1.116E-02 0.4757  0.9917 7.095E-22 2.052E+04
1.122E-02 0.4758  0.9915 7.128E-22 2.061E+04
1.128E-02 0.4758  0.9914 7.160E-22 2.071E+04
1.135E-02 0.4757  0.9912 7.191E-22 2.080E+04
1.142E-02 0.4755  0.9910 7.221E-22 2.090E+04
1.148E-02 0.4752  0.9909 7.249E-22 2.099E+04
1.155E-02 0.4748  0.9907 7.276E-22 2.108E+04
1.161E-02 0.4743  0.9906 7.302E-22 2.118E+04
1.168E-02 0.4737  0.9904 7.327E-22 2.128E+04
1.175E-02 0.4730  0.9903 7.351E-22 2.137E+04
1.182E-02 0.4723  0.9901 7.373E-22 2.147E+04
1.189E-02 0.4715  0.9900 7.395E-22 2.156E+04
1.195E-02 0.4706  0.9898 7.416E-22 2.166E+04
1.202E-02 0.4697  0.9897 7.436E-22 2.176E+04
1.209E-02 0.4687  0.9895 7.455E-22 2.185E+04
1.216E-02 0.4677  0.9894 7.473E-22 2.195E+04
1.223E-02 0.4666  0.9892 7.491E-22 2.204E+04
1.230E-02 0.4655  0.9891 7.507E-22 2.214E+04
1.237E-02 0.4643  0.9889 7.523E-22 2.224E+04
1.245E-02 0.4631  0.9888 7.539E-22 2.233E+04
1.252E-02 0.4618  0.9886 7.554E-22 2.243E+04
1.259E-02 0.4604  0.9885 7.569E-22 2.253E+04
1.266E-02 0.4590  0.9883 7.583E-22 2.263E+04
1.274E-02 0.4576  0.9882 7.596E-22 2.273E+04
1.281E-02 0.4523  0.9882 7.563E-22 2.285E+04
1.288E-02 0.4593  0.9881 7.569E-22 2.258E+04
1.296E-02 0.4590  0.9879 7.596E-22 2.267E+04
1.303E-02 0.4588  0.9877 7.625E-22 2.277E+04
1.311E-02 0.4581  0.9875 7.646E-22 2.286E+04
1.318E-02 0.4570  0.9873 7.663E-22 2.296E+04
1.326E-02 0.4555  0.9872 7.676E-22 2.306E+04
1.334E-02 0.4539  0.9870 7.686E-22 2.316E+04
1.341E-02 0.4532  0.9868 7.709E-22 2.325E+04
1.349E-02 0.4573  0.9868 7.661E-22 2.294E+04
1.357E-02 0.4573  0.9866 7.692E-22 2.303E+04
1.365E-02 0.4573  0.9864 7.723E-22 2.312E+04
1.372E-02 0.4571  0.9861 7.752E-22 2.322E+04
1.380E-02 0.4568  0.9859 7.778E-22 2.331E+04
1.388E-02 0.4563  0.9857 7.802E-22 2.341E+04
1.396E-02 0.4557  0.9855 7.826E-22 2.350E+04
1.404E-02 0.4551  0.9852 7.849E-22 2.360E+04
1.413E-02 0.4545  0.9850 7.872E-22 2.369E+04
1.421E-02 0.4538  0.9848 7.895E-22 2.379E+04
1.429E-02 0.4532  0.9846 7.918E-22 2.389E+04
1.437E-02 0.4525  0.9843 7.940E-22 2.399E+04
1.445E-02 0.4518  0.9841 7.963E-22 2.408E+04
1.454E-02 0.4511  0.9839 7.985E-22 2.418E+04
1.462E-02 0.4504  0.9836 8.006E-22 2.428E+04
1.471E-02 0.4496  0.9834 8.028E-22 2.438E+04
1.479E-02 0.4489  0.9832 8.049E-22 2.447E+04
1.488E-02 0.4481  0.9829 8.071E-22 2.457E+04
1.496E-02 0.4474  0.9827 8.092E-22 2.467E+04
1.505E-02 0.4466  0.9824 8.113E-22 2.477E+04
1.514E-02 0.4458  0.9822 8.135E-22 2.487E+04
1.522E-02 0.4450  0.9819 8.156E-22 2.497E+04
1.531E-02 0.4442  0.9817 8.177E-22 2.507E+04
1.540E-02 0.4434  0.9814 8.198E-22 2.517E+04
1.549E-02 0.4426  0.9812 8.219E-22 2.527E+04
