   Extinction, Scattering, and Absorption Properties Computed for
   Carbonaceous - Silicate Model for Interstellar Dust with R_V=4.0

Model consists of mixture of carbonaceous grains and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001, hereafter WD01) case "A" model for
R_V=4.0, renormalized following Draine (2003a) [see below].

PAH optical properties are from Li & Draine (2001).  The PAH/graphitic
grains in the log-normal size distributions are assumed to be 50%
neutral and 50% ionized.  The PAH/graphitic grains in the size
distribution given by eq. (5,6) of Weingartner & Draine (2001) are
assumed to be 100% ionized.

Graphite and silicate optical properties from Draine (2003b).

For R_V=3.1: grain abundances relative to H have been reduced by a
             factor 0.93 relative to the R_V=3.1 size distribution with
	     [C/H]_PAH=60ppm in WD01.
             Factor 0.93 is due to reduction in adopted value for
             A_Ic/N_H in local ISM.
	     PAH C abundance relative to H is assumed to be
             [C/H]_PAH = 0.93*60ppm = 55.8ppm

For R_V=4.0: THIS MODEL
	     grain abundances relative to H have been increased by a
             factor 0.93*1.27=1.18 relative to the R_V=4.0 size
             distribution with [C/H]_PAH=40ppm in WD01
             Factor 0.93 is due to reduction in adopted value for
             A_Ic/N_H in local ISM.
             Factor 1.27 is the increase in A_Ic/N_H for R_V=4.0
             relative to A_Ic/N_H for R_V=3.1, based on eq.(5) of
             Draine (2003a).
             PAH C abundance relative to H is assumed to be
             [C/H]_PAH = 0.93*1.27*40ppm = 47.2ppm

For R_V=5.5: grain abundances relative to H have been increased by a
             factor 0.93*1.52=1.42 relative to the R_V=4.0 size
             distribution with [C/H]_PAH=30ppm in WD01.
             Factor 0.93 is due to reduction in adopted value for
             A_Ic/N_H in local ISM.
             Factor 1.52 is the increase in A_Ic/N_H for R_V=5.5
             relative to A_Ic/N_H for R_V=3.1, based on eq.(5) of
             Draine (2003a).
             PAH C abundance relative to H is assumed to be
	     [C/H]_PAH = 0.93*1.52*30ppm = 42.4ppm

References:

Draine, B.T. 2003a, "Interstellar Dust Grains", Annu. Rev. Astr. Astrophys.,
    41, 241-289
Draine, B.T. 2003b, "Scattering by Interstellar Dust Grains. I. Optical
    and Ultraviolet", Astrophys. J., 598, 1017-1025
Draine, B.T. 2003c, "Scattering by Interstellar Dust Grains. II. X-Rays",
    Astrophys. J., 598, 1026-1037
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust.
    II. The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, Dust Grain Size Distributions and
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548,
    296-309 (WD01).

This table was calculated by B.T. Draine, Princeton University,
Wed Dec 17 12:58:52 EST 2003


Tabulated quantities:
lambda  = wavelength in vacuo (micron)
albedo  = (scattering cross section)/(extinction cross section)
<cos>   = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)
<cos^2> = <cos^(theta)> for scattered light

1.969E-26 = M_dust per H nucleon (gram/H) for this dust model
1.174E+02 = M_gas/M_dust for this dust model (assuming He/H=0.096)

  lambda    albedo   <cos>  C_ext/H    K_abs   <cos^2>
 (micron)                   (cm^2/H)  (cm^2/g)          comment
----------- ------  ------ --------- --------- ------- --------
1.00000E+04 0.0000  0.0000 1.368E-28 6.947E-03 0.61468
9.77237E+03 0.0000  0.0000 1.423E-28 7.227E-03 0.40000
9.54993E+03 0.0000  0.0000 1.480E-28 7.516E-03 0.40000
9.33254E+03 0.0000  0.0000 1.539E-28 7.817E-03 0.40000
9.12011E+03 0.0000  0.0000 1.600E-28 8.129E-03 0.40000
8.91251E+03 0.0000  0.0000 1.664E-28 8.451E-03 0.40000
8.70964E+03 0.0000  0.0000 1.729E-28 8.784E-03 0.40000
8.51138E+03 0.0000  0.0000 1.798E-28 9.130E-03 0.40000
8.31764E+03 0.0000  0.0000 1.868E-28 9.490E-03 0.40000
8.12831E+03 0.0000  0.0000 1.942E-28 9.864E-03 0.40000
7.94328E+03 0.0000  0.0000 2.019E-28 1.025E-02 0.40000
7.76247E+03 0.0000  0.0000 2.098E-28 1.066E-02 0.40000
7.58578E+03 0.0000  0.0000 2.181E-28 1.108E-02 0.40000
7.41310E+03 0.0000  0.0000 2.266E-28 1.151E-02 0.40000
7.24436E+03 0.0000  0.0000 2.355E-28 1.196E-02 0.40000
7.07946E+03 0.0000  0.0000 2.448E-28 1.243E-02 0.40000
6.91831E+03 0.0000  0.0000 2.544E-28 1.292E-02 0.40000
6.76083E+03 0.0000  0.0000 2.644E-28 1.343E-02 0.40000
6.60693E+03 0.0000  0.0000 2.748E-28 1.396E-02 0.40000
6.45654E+03 0.0000  0.0000 2.856E-28 1.451E-02 0.40000
6.30957E+03 0.0000  0.0000 2.968E-28 1.507E-02 0.40000
6.16595E+03 0.0000  0.0000 3.084E-28 1.567E-02 0.40000
6.02560E+03 0.0000  0.0000 3.205E-28 1.628E-02 0.40000
5.88844E+03 0.0000 -0.0001 3.331E-28 1.692E-02 0.40000
5.75440E+03 0.0000 -0.0001 3.461E-28 1.758E-02 0.40000
5.62341E+03 0.0000 -0.0001 3.597E-28 1.827E-02 0.40000
5.49541E+03 0.0000 -0.0002 3.738E-28 1.899E-02 0.40000
5.37032E+03 0.0000 -0.0002 3.884E-28 1.973E-02 0.39999
5.24807E+03 0.0000 -0.0002 4.037E-28 2.050E-02 0.39999
5.12861E+03 0.0000 -0.0003 4.195E-28 2.131E-02 0.39999
5.01187E+03 0.0000 -0.0003 4.359E-28 2.214E-02 0.39999
4.89779E+03 0.0000 -0.0004 4.529E-28 2.300E-02 0.39999
4.78630E+03 0.0000 -0.0005 4.706E-28 2.390E-02 0.39999
4.67735E+03 0.0000 -0.0006 4.889E-28 2.483E-02 0.39999
4.57088E+03 0.0000 -0.0006 5.080E-28 2.580E-02 0.39999
4.46684E+03 0.0000 -0.0007 5.278E-28 2.681E-02 0.39999
4.36516E+03 0.0000 -0.0008 5.484E-28 2.786E-02 0.39999
4.26580E+03 0.0000 -0.0010 5.698E-28 2.894E-02 0.39999
4.16869E+03 0.0000 -0.0011 5.920E-28 3.007E-02 0.39999
4.07380E+03 0.0000 -0.0012 6.151E-28 3.124E-02 0.39999
3.98107E+03 0.0000 -0.0013 6.390E-28 3.245E-02 0.39999
3.89045E+03 0.0000 -0.0015 6.637E-28 3.371E-02 0.39999
3.80189E+03 0.0000 -0.0015 6.895E-28 3.502E-02 0.39999
3.71535E+03 0.0000 -0.0016 7.162E-28 3.637E-02 0.39999
3.63078E+03 0.0000 -0.0018 7.439E-28 3.778E-02 0.39999
3.54813E+03 0.0000 -0.0019 7.727E-28 3.925E-02 0.39999
3.46737E+03 0.0000 -0.0021 8.026E-28 4.076E-02 0.39999
3.38844E+03 0.0000 -0.0022 8.336E-28 4.234E-02 0.39999
3.31131E+03 0.0000 -0.0023 8.658E-28 4.397E-02 0.39999
3.23594E+03 0.0000 -0.0024 8.992E-28 4.567E-02 0.39999
3.16228E+03 0.0000 -0.0025 9.338E-28 4.743E-02 0.39999
3.09030E+03 0.0000 -0.0027 9.698E-28 4.926E-02 0.39999
3.01995E+03 0.0000 -0.0028 1.007E-27 5.115E-02 0.39999
2.95121E+03 0.0000 -0.0029 1.046E-27 5.311E-02 0.39999
2.88403E+03 0.0000 -0.0030 1.086E-27 5.515E-02 0.39999
2.81838E+03 0.0000 -0.0032 1.128E-27 5.727E-02 0.39999
2.75423E+03 0.0000 -0.0033 1.171E-27 5.946E-02 0.39999
2.69153E+03 0.0000 -0.0034 1.216E-27 6.174E-02 0.39999
2.63027E+03 0.0000 -0.0035 1.262E-27 6.410E-02 0.39999
2.57040E+03 0.0000 -0.0036 1.310E-27 6.655E-02 0.39999
2.51189E+03 0.0000 -0.0037 1.360E-27 6.909E-02 0.39999
2.45471E+03 0.0000 -0.0038 1.412E-27 7.172E-02 0.39999
2.39883E+03 0.0000 -0.0040 1.466E-27 7.444E-02 0.39999
2.34423E+03 0.0000 -0.0041 1.521E-27 7.726E-02 0.39999
2.29087E+03 0.0000 -0.0042 1.579E-27 8.019E-02 0.39999
2.23872E+03 0.0000 -0.0043 1.639E-27 8.323E-02 0.39999
2.18776E+03 0.0000 -0.0044 1.701E-27 8.638E-02 0.39999
2.13796E+03 0.0000 -0.0045 1.765E-27 8.965E-02 0.39999
2.08930E+03 0.0000 -0.0046 1.832E-27 9.304E-02 0.39999
2.04174E+03 0.0000 -0.0047 1.901E-27 9.656E-02 0.39999
1.99526E+03 0.0000 -0.0048 1.973E-27 1.002E-01 0.39999
1.94984E+03 0.0000 -0.0049 2.047E-27 1.040E-01 0.39999
1.90546E+03 0.0000 -0.0050 2.124E-27 1.079E-01 0.39999
1.86209E+03 0.0000 -0.0051 2.204E-27 1.120E-01 0.39999
1.81970E+03 0.0000 -0.0052 2.287E-27 1.162E-01 0.39999
1.77828E+03 0.0000 -0.0053 2.373E-27 1.205E-01 0.39999
1.73780E+03 0.0000 -0.0054 2.463E-27 1.251E-01 0.39999
1.69824E+03 0.0000 -0.0055 2.555E-27 1.298E-01 0.39999
1.65959E+03 0.0000 -0.0056 2.651E-27 1.347E-01 0.39999
1.62181E+03 0.0000 -0.0057 2.751E-27 1.397E-01 0.39999
1.58489E+03 0.0000 -0.0058 2.854E-27 1.450E-01 0.39999
1.54882E+03 0.0000 -0.0059 2.962E-27 1.504E-01 0.39999
1.51356E+03 0.0000 -0.0060 3.073E-27 1.561E-01 0.39999
1.47911E+03 0.0000 -0.0061 3.188E-27 1.619E-01 0.39999
1.44544E+03 0.0000 -0.0062 3.308E-27 1.680E-01 0.39999
1.41254E+03 0.0000 -0.0063 3.432E-27 1.743E-01 0.39999
1.38038E+03 0.0000 -0.0064 3.561E-27 1.809E-01 0.39999
1.34896E+03 0.0000 -0.0064 3.694E-27 1.876E-01 0.39999
1.31826E+03 0.0000 -0.0065 3.833E-27 1.947E-01 0.39999
1.28825E+03 0.0000 -0.0066 3.976E-27 2.020E-01 0.39999
1.25893E+03 0.0000 -0.0067 4.125E-27 2.095E-01 0.39999
1.23027E+03 0.0000 -0.0068 4.280E-27 2.174E-01 0.39999
1.20226E+03 0.0000 -0.0068 4.441E-27 2.256E-01 0.39999
1.17490E+03 0.0000 -0.0069 4.607E-27 2.340E-01 0.39999
1.14815E+03 0.0000 -0.0070 4.780E-27 2.428E-01 0.39999
1.12202E+03 0.0000 -0.0070 4.959E-27 2.519E-01 0.40000
1.09648E+03 0.0000 -0.0071 5.145E-27 2.613E-01 0.40000
1.07152E+03 0.0000 -0.0072 5.338E-27 2.711E-01 0.40000
1.04713E+03 0.0000 -0.0072 5.538E-27 2.813E-01 0.40000
1.02329E+03 0.0000 -0.0073 5.746E-27 2.919E-01 0.40000
1.00000E+03 0.0000 -0.0074 5.962E-27 3.028E-01 0.40000
9.77237E+02 0.0000 -0.0074 6.187E-27 3.142E-01 0.40000
9.54993E+02 0.0000 -0.0075 6.420E-27 3.261E-01 0.40000
9.33254E+02 0.0000 -0.0075 6.663E-27 3.384E-01 0.40000
9.12011E+02 0.0000 -0.0076 6.914E-27 3.512E-01 0.40000
8.91251E+02 0.0000 -0.0076 7.175E-27 3.644E-01 0.40000
8.70964E+02 0.0000 -0.0077 7.445E-27 3.781E-01 0.40000
8.51138E+02 0.0000 -0.0077 7.726E-27 3.924E-01 0.40000
8.31764E+02 0.0000 -0.0078 8.017E-27 4.072E-01 0.40000
8.12831E+02 0.0000 -0.0078 8.319E-27 4.225E-01 0.40000
7.94328E+02 0.0000 -0.0078 8.632E-27 4.384E-01 0.40000
7.76247E+02 0.0000 -0.0079 8.958E-27 4.550E-01 0.40000
7.58578E+02 0.0000 -0.0079 9.296E-27 4.721E-01 0.40000
7.41310E+02 0.0000 -0.0080 9.648E-27 4.900E-01 0.40000
7.24436E+02 0.0000 -0.0080 1.002E-26 5.087E-01 0.40000
7.07946E+02 0.0000 -0.0080 1.040E-26 5.281E-01 0.40000
