Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=4.0 galactic dust with C/H = b_C = 40.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.000E-02 0.4947  0.9945 5.258E-22 1.477E+04
1.006E-02 0.4934  0.9944 5.263E-22 1.483E+04
1.012E-02 0.4922  0.9943 5.269E-22 1.488E+04
1.017E-02 0.4909  0.9943 5.274E-22 1.493E+04
1.023E-02 0.4897  0.9942 5.280E-22 1.498E+04
1.029E-02 0.4884  0.9941 5.285E-22 1.504E+04
1.035E-02 0.4869  0.9941 5.288E-22 1.509E+04
1.041E-02 0.4849  0.9940 5.287E-22 1.515E+04
1.047E-02 0.4828  0.9940 5.286E-22 1.520E+04
1.053E-02 0.4792  0.9940 5.271E-22 1.527E+04
1.059E-02 0.4719  0.9940 5.225E-22 1.535E+04
1.065E-02 0.4708  0.9939 5.232E-22 1.540E+04
1.072E-02 0.4869  0.9944 5.051E-22 1.441E+04
1.078E-02 0.4859  0.9944 5.060E-22 1.447E+04
1.084E-02 0.4931  0.9941 5.142E-22 1.449E+04
1.090E-02 0.4968  0.9939 5.194E-22 1.453E+04
1.096E-02 0.4975  0.9938 5.218E-22 1.458E+04
1.103E-02 0.4980  0.9937 5.240E-22 1.463E+04
1.109E-02 0.4983  0.9935 5.262E-22 1.468E+04
1.116E-02 0.4986  0.9934 5.282E-22 1.473E+04
1.122E-02 0.4987  0.9933 5.302E-22 1.478E+04
1.128E-02 0.4987  0.9932 5.320E-22 1.483E+04
1.135E-02 0.4987  0.9930 5.338E-22 1.488E+04
1.142E-02 0.4985  0.9929 5.355E-22 1.493E+04
1.148E-02 0.4983  0.9928 5.371E-22 1.499E+04
1.155E-02 0.4980  0.9926 5.387E-22 1.504E+04
1.161E-02 0.4976  0.9925 5.402E-22 1.509E+04
1.168E-02 0.4971  0.9924 5.416E-22 1.515E+04
1.175E-02 0.4966  0.9923 5.429E-22 1.520E+04
1.182E-02 0.4960  0.9921 5.442E-22 1.525E+04
1.189E-02 0.4954  0.9920 5.454E-22 1.531E+04
1.195E-02 0.4947  0.9919 5.466E-22 1.536E+04
1.202E-02 0.4940  0.9918 5.477E-22 1.541E+04
1.209E-02 0.4932  0.9916 5.488E-22 1.547E+04
1.216E-02 0.4924  0.9915 5.498E-22 1.552E+04
1.223E-02 0.4915  0.9914 5.508E-22 1.557E+04
1.230E-02 0.4906  0.9913 5.517E-22 1.563E+04
1.237E-02 0.4897  0.9912 5.526E-22 1.568E+04
1.245E-02 0.4887  0.9910 5.534E-22 1.574E+04
1.252E-02 0.4876  0.9909 5.543E-22 1.579E+04
1.259E-02 0.4865  0.9908 5.551E-22 1.585E+04
1.266E-02 0.4854  0.9907 5.559E-22 1.591E+04
1.274E-02 0.4842  0.9906 5.566E-22 1.597E+04
1.281E-02 0.4798  0.9906 5.545E-22 1.604E+04
1.288E-02 0.4856  0.9904 5.561E-22 1.591E+04
1.296E-02 0.4854  0.9903 5.577E-22 1.596E+04
1.303E-02 0.4853  0.9901 5.594E-22 1.601E+04
1.311E-02 0.4847  0.9899 5.606E-22 1.607E+04
1.318E-02 0.4838  0.9898 5.616E-22 1.612E+04
1.326E-02 0.4826  0.9897 5.623E-22 1.618E+04
1.334E-02 0.4812  0.9895 5.629E-22 1.624E+04
1.341E-02 0.4807  0.9894 5.642E-22 1.629E+04
1.349E-02 0.4840  0.9894 5.628E-22 1.615E+04
1.357E-02 0.4840  0.9892 5.646E-22 1.620E+04
1.365E-02 0.4840  0.9890 5.664E-22 1.625E+04
1.372E-02 0.4839  0.9888 5.681E-22 1.631E+04
1.380E-02 0.4836  0.9886 5.697E-22 1.636E+04
1.388E-02 0.4832  0.9884 5.711E-22 1.641E+04
1.396E-02 0.4827  0.9882 5.725E-22 1.647E+04
1.404E-02 0.4823  0.9880 5.739E-22 1.652E+04
1.413E-02 0.4818  0.9879 5.752E-22 1.658E+04
1.421E-02 0.4813  0.9877 5.766E-22 1.663E+04
1.429E-02 0.4807  0.9875 5.779E-22 1.669E+04
1.437E-02 0.4802  0.9873 5.792E-22 1.675E+04
1.445E-02 0.4796  0.9871 5.806E-22 1.680E+04
1.454E-02 0.4790  0.9869 5.819E-22 1.686E+04
1.462E-02 0.4784  0.9867 5.831E-22 1.692E+04
1.471E-02 0.4778  0.9865 5.844E-22 1.697E+04
1.479E-02 0.4772  0.9863 5.857E-22 1.703E+04
1.488E-02 0.4766  0.9861 5.870E-22 1.709E+04
1.496E-02 0.4759  0.9859 5.882E-22 1.714E+04
1.505E-02 0.4753  0.9857 5.895E-22 1.720E+04
1.514E-02 0.4747  0.9855 5.908E-22 1.726E+04
1.522E-02 0.4740  0.9853 5.920E-22 1.732E+04
1.531E-02 0.4733  0.9851 5.933E-22 1.738E+04
1.540E-02 0.4727  0.9849 5.946E-22 1.744E+04
1.549E-02 0.4720  0.9846 5.958E-22 1.749E+04
1.558E-02 0.4714  0.9844 5.971E-22 1.755E+04
1.567E-02 0.4707  0.9842 5.983E-22 1.761E+04
1.576E-02 0.4701  0.9840 5.996E-22 1.767E+04
