   Extinction, Scattering, and Absorption Properties Computed for
   Carbonaceous - Silicate Model for Interstellar Dust with R_V=5.5

Model consists of mixture of carbonaceous grains and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001, hereafter WD01) case "A" model for
R_V=5.5, renormalized following Draine (2003a) [see below].

PAH optical properties are from Li & Draine (2001).  The PAH/graphitic
grains in the log-normal size distributions are assumed to be 50%
neutral and 50% ionized.  The PAH/graphitic grains in the size
distribution given by eq. (5,6) of Weingartner & Draine (2001) are
assumed to be 100% ionized.

Graphite and silicate optical properties from Draine (2003b).

For R_V=3.1: grain abundances relative to H have been reduced by a
             factor 0.93 relative to the R_V=3.1 size distribution with
	     [C/H]_PAH=60ppm in WD01.
             Factor 0.93 is due to reduction in adopted value for
             A_Ic/N_H in local ISM.
	     PAH C abundance relative to H is assumed to be
             [C/H]_PAH = 0.93*60ppm = 55.8ppm

For R_V=4.0: grain abundances relative to H have been increased by a
             factor 0.93*1.27=1.18 relative to the R_V=4.0 size
             distribution with [C/H]_PAH=40ppm in WD01
             Factor 0.93 is due to reduction in adopted value for
             A_Ic/N_H in local ISM.
             Factor 1.27 is the increase in A_Ic/N_H for R_V=4.0
             relative to A_Ic/N_H for R_V=3.1, based on eq.(5) of
             Draine (2003a).
             PAH C abundance relative to H is assumed to be
             [C/H]_PAH = 0.93*1.27*40ppm = 47.2ppm

For R_V=5.5: THIS MODEL
             grain abundances relative to H have been increased by a
             factor 0.93*1.52=1.42 relative to the R_V=4.0 size
             distribution with [C/H]_PAH=30ppm in WD01.
             Factor 0.93 is due to reduction in adopted value for
             A_Ic/N_H in local ISM.
             Factor 1.52 is the increase in A_Ic/N_H for R_V=5.5
             relative to A_Ic/N_H for R_V=3.1, based on eq.(5) of
             Draine (2003a).
             PAH C abundance relative to H is assumed to be
	     [C/H]_PAH = 0.93*1.52*30ppm = 42.4ppm

References:

Draine, B.T. 2003a, "Interstellar Dust Grains", Annu. Rev. Astr. Astrophys.,
    41, 241-289
Draine, B.T. 2003b, "Scattering by Interstellar Dust Grains. I. Optical
    and Ultraviolet", Astrophys. J., 598, 1017-1025
Draine, B.T. 2003c, "Scattering by Interstellar Dust Grains. II. X-Rays",
    Astrophys. J., 598, 1026-1037
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust.
    II. The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, Dust Grain Size Distributions and
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548,
    296-309 (WD01).

This table was calculated by B.T. Draine, Princeton University,
Wed Dec 17 13:50:22 EST 2003


Tabulated quantities:
lambda  = wavelength in vacuo (micron)
albedo  = (scattering cross section)/(extinction cross section)
<cos>   = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)
<cos^2> = <cos^(theta)> for scattered light

2.199E-26 = M_dust per H nucleon (gram/H) for this dust model
1.051E+02 = M_gas/M_dust for this dust model (assuming He/H=0.096)

  lambda    albedo   <cos>  C_ext/H    K_abs   <cos^2>
 (micron)                   (cm^2/H)  (cm^2/g)          comment
----------- ------  ------ --------- --------- ------- --------
1.00000E+04 0.0000  0.0000 1.771E-28 8.052E-03 0.63049
9.77237E+03 0.0000  0.0000 1.842E-28 8.377E-03 0.40000
9.54993E+03 0.0000  0.0000 1.916E-28 8.715E-03 0.40000
9.33254E+03 0.0000  0.0000 1.993E-28 9.066E-03 0.40000
9.12011E+03 0.0000  0.0000 2.073E-28 9.430E-03 0.40000
8.91251E+03 0.0000  0.0000 2.156E-28 9.806E-03 0.40000
8.70964E+03 0.0000  0.0000 2.242E-28 1.019E-02 0.40000
8.51138E+03 0.0000  0.0000 2.330E-28 1.060E-02 0.40000
8.31764E+03 0.0000 -0.0001 2.423E-28 1.102E-02 0.40000
8.12831E+03 0.0000 -0.0001 2.519E-28 1.145E-02 0.40000
7.94328E+03 0.0000 -0.0001 2.618E-28 1.191E-02 0.40000
7.76247E+03 0.0000 -0.0002 2.721E-28 1.238E-02 0.40000
7.58578E+03 0.0000 -0.0003 2.829E-28 1.286E-02 0.40000
7.41310E+03 0.0000 -0.0003 2.940E-28 1.337E-02 0.40000
7.24436E+03 0.0000 -0.0004 3.056E-28 1.390E-02 0.39999
7.07946E+03 0.0000 -0.0005 3.176E-28 1.444E-02 0.39999
6.91831E+03 0.0000 -0.0006 3.300E-28 1.501E-02 0.39999
6.76083E+03 0.0000 -0.0007 3.430E-28 1.560E-02 0.39999
6.60693E+03 0.0000 -0.0009 3.564E-28 1.621E-02 0.39999
6.45654E+03 0.0000 -0.0009 3.704E-28 1.684E-02 0.39999
6.30957E+03 0.0000 -0.0011 3.848E-28 1.750E-02 0.39999
6.16595E+03 0.0000 -0.0013 3.999E-28 1.818E-02 0.39999
6.02560E+03 0.0000 -0.0015 4.154E-28 1.889E-02 0.39999
5.88844E+03 0.0000 -0.0017 4.316E-28 1.963E-02 0.39999
5.75440E+03 0.0000 -0.0020 4.484E-28 2.039E-02 0.39999
5.62341E+03 0.0000 -0.0020 4.658E-28 2.118E-02 0.39999
5.49541E+03 0.0000 -0.0023 4.838E-28 2.200E-02 0.39999
5.37032E+03 0.0000 -0.0025 5.026E-28 2.286E-02 0.39999
5.24807E+03 0.0000 -0.0028 5.220E-28 2.374E-02 0.39999
5.12861E+03 0.0000 -0.0030 5.422E-28 2.466E-02 0.39999
5.01187E+03 0.0000 -0.0033 5.631E-28 2.561E-02 0.39999
4.89779E+03 0.0000 -0.0034 5.847E-28 2.659E-02 0.39999
4.78630E+03 0.0000 -0.0036 6.072E-28 2.761E-02 0.39999
4.67735E+03 0.0000 -0.0039 6.304E-28 2.867E-02 0.39999
4.57088E+03 0.0000 -0.0042 6.546E-28 2.977E-02 0.39999
4.46684E+03 0.0000 -0.0044 6.796E-28 3.091E-02 0.39999
4.36516E+03 0.0000 -0.0047 7.055E-28 3.208E-02 0.39999
4.26580E+03 0.0000 -0.0049 7.324E-28 3.331E-02 0.39999
4.16869E+03 0.0000 -0.0051 7.603E-28 3.457E-02 0.39999
4.07380E+03 0.0000 -0.0053 7.891E-28 3.589E-02 0.39999
3.98107E+03 0.0000 -0.0055 8.190E-28 3.725E-02 0.39999
3.89045E+03 0.0000 -0.0058 8.499E-28 3.865E-02 0.39999
3.80189E+03 0.0000 -0.0060 8.819E-28 4.011E-02 0.39999
3.71535E+03 0.0000 -0.0062 9.151E-28 4.161E-02 0.39999
3.63078E+03 0.0000 -0.0064 9.494E-28 4.318E-02 0.39999
3.54813E+03 0.0000 -0.0066 9.850E-28 4.479E-02 0.39999
3.46737E+03 0.0000 -0.0069 1.022E-27 4.647E-02 0.39999
3.38844E+03 0.0000 -0.0071 1.060E-27 4.821E-02 0.39999
3.31131E+03 0.0000 -0.0073 1.100E-27 5.000E-02 0.39999
3.23594E+03 0.0000 -0.0075 1.140E-27 5.186E-02 0.39999
3.16228E+03 0.0000 -0.0077 1.183E-27 5.379E-02 0.39999
3.09030E+03 0.0000 -0.0079 1.227E-27 5.578E-02 0.39999
3.01995E+03 0.0000 -0.0081 1.272E-27 5.784E-02 0.39999
2.95121E+03 0.0000 -0.0083 1.319E-27 5.998E-02 0.39999
2.88403E+03 0.0000 -0.0085 1.367E-27 6.219E-02 0.39999
2.81838E+03 0.0000 -0.0088 1.418E-27 6.447E-02 0.39999
2.75423E+03 0.0000 -0.0090 1.470E-27 6.684E-02 0.39999
2.69153E+03 0.0000 -0.0091 1.524E-27 6.929E-02 0.39999
2.63027E+03 0.0000 -0.0093 1.579E-27 7.183E-02 0.39999
2.57040E+03 0.0000 -0.0095 1.637E-27 7.445E-02 0.39999
2.51189E+03 0.0000 -0.0097 1.697E-27 7.716E-02 0.39999
2.45471E+03 0.0000 -0.0099 1.758E-27 7.997E-02 0.39999
2.39883E+03 0.0000 -0.0101 1.822E-27 8.286E-02 0.39999
2.34423E+03 0.0000 -0.0103 1.888E-27 8.586E-02 0.39999
